阿斗当皇帝	软弱无能
好斗的山羊	顶顶撞撞；又顶又撞
好儿无好媳	美中不足
好汉不吃眼前亏	识时务
好汉上梁山	逼出来的
好花插在牛粪上	可惜；真可惜
好花插在牛屎上	真可惜
好花离了枝	蔫（植物因失去水分而枯萎）了
好经念给聋施主	白费口舌
好马不吃回头草	倔强
好马遭鞭打	忍辱负重
好女嫁丑汉	不般配
好女嫁歹汉，驴子吃牡丹	搭配不当
好人喊冤	不平则鸣
好人坐班房	不白之冤
好肉上贴橡皮膏	自找麻烦
好心当成驴肝肺	不识好歹
好心遭雷打	冤枉；太冤枉
号手出身	会吹
号筒里塞棉花	吹不响
号筒塞棉花	吹不响；吹不得
号嘴上贴封条	别吹
耗干了油的灯火	奄奄一息（熄）
耗子搬家	穷折腾
耗子搬生姜	劳而无功；白费力
耗子不留隔夜粮	吃光用光
耗子吃砒霜（pi shuang砷的氧化物。剧毒）	翻白眼；性命难保
耗子充蝙蝠	白熬夜
耗子出洞	东张西望；先听动静
耗子打洞	找门路
耗子打瞌睡	不显眼
耗子戴眼镜	鼠目寸光
耗子倒洞	走后门
耗子的眼睛	只看一寸远（比喻目光短浅。）
耗子的眼镜	目光短浅；只看一寸远
耗子掉到醋缸里	一身酸味
耗子掉进面缸里	白眼看人
耗子掉水缸	时髦（湿毛）
耗子跌进坛子里	无缝可钻
耗子跌米缸	好进难出；又喜又悲
耗子盯小偷	贼眉鼠眼
耗子洞摆神像	莫明其妙（庙）
耗子洞里打架	窝里战；自相残杀
耗子逗猫	惹祸上身；没事找事
耗子给猫捋胡子	溜须不要命（比喻拼命巴结）
耗子攻墙	家贼难防
耗子拱墙根	没缝打缝
耗子滚到面柜里	乐糊涂了
耗子滑冰	溜得快
耗子嫁猫	送死；找死；自己找死
耗子嫁女	讲吃不讲穿
耗子见猫	赶快逃；逃不了就没命
耗子进老鼠夹	离死不远
耗子进书箱	蚀（食）本
耗子扛枪	窝里横
耗子啃菜刀	死路一条
耗子啃碟子	满嘴词（瓷）
耗子啃海椒（辣椒）	够戗（够受的）
耗子啃罗汉	不识大体
耗子啃木头	吃不消
耗子啃木箱	闲磨牙
耗子啃皮球	客（嗑）气
耗子啃书本	咬文嚼字
耗子窟窿	填不满
耗子拉鸡子儿（鸡蛋）	滚蛋
耗子拉木锨	大头在后边
耗子磨牙	没话找话
耗子爬秤钩	自称自．
耗子爬到牛角上	自以为大
耗子爬到树梢上	自高自大
耗子爬铁丝	难转弯；转不过弯来；转不得身
耗子爬竹竿	一节节来
耗子上吊	猫逼的
耗子伸腿	小手小脚
耗子生儿	喂猫的货
耗子睡猫窝	自送一口肉；送来的口食；不知死活
耗子睡在粮仓里	不愁吃
耗子舔猫鼻子	找死；自己找死
耗子舔猫屁股	送死
耗子跳到钢琴上	乱谈（弹）
耗子跳火坑	爪干毛净
耗子偷糨子（jiang zi糨糊）	煳（糊）嘴
耗子偷米汤	勉强糊得着嘴巴
耗子腿上摆宴席	小题（蹄）大做
耗子拖牛	大干一场
耗子尾巴上长癣	小毛病
耗子眼看天	小瞧
耗子在铁板上打洞	钻不透
耗子在窝里藏粮	有备无患
耗子找枪	窝里反
耗子钻到竹筒里	死不回来
耗子钻到字纸篓	咬文嚼字
耗子钻风箱	两头咬气；自找罪受
耗子钻灰堆	闭着眼混
耗子钻进古书堆	吃老本
耗子钻牛角	没有出路；死路一条
耗子钻象鼻	大的没有小的能；小能降大
耗子钻油房	吃香
耗子钻油壶	有进无出，
喝茶拿筷子	摆设
喝敌敌畏跳井	必死无疑
喝海水长大的	见过风浪
喝江水说海话	无边无沿
喝酒不吃菜	各人心里爱
喝酒不拿盅子	胡（壶）来
喝酒穿皮袄	里外发烧（比喻走运，突然好了起来）
喝酒尿裤子	松包
喝酒晒太阳	周身火热
喝冷酒，拿赃钱	迟早是病
喝凉水吃生姜	乏味；不是滋味
喝凉水肚子痛	自找罪受
喝凉水拿筷子	多此一举；没有用
喝凉水塞牙缝	倒霉透了；真倒霉
喝凉水剔牙缝	没事找事
喝凉水栽跟头	装晕
喝了黄连猪胆汤	一肚子苦水
喝了迷魂汤	昏头昏脑；神魂颠倒
喝了柠蒙水	心里酸溜溜的
喝了泉水就摔瓢	忘本
喝了烧酒烤火	浑身发热
喝了太平洋的水	宽大无边
喝了五味汤	啥滋味都有
喝了一坛子山西醋	酸心透了
喝米汤划拳	图热闹
喝磨刀水长大的	内秀（锈）;秀（锈）气在内
喝水拿筷子	用不着（比喻没有用。）
喝水塞牙缝，放屁扭了腰	该倒霉
喝松花江水长大的	管得宽
喝完浆水上吊	糊涂死了
喝西北风长的	没点热乎气
喝西北风打饱嗝	硬挺
喝西北风堵嗓子	倒霉透了
喝盐开水聊天	尽讲闲（盐）话
喝足酒跳太湖	罪（醉）该万死
禾草里头藏龙身	农家出英才
禾苗怕蝼蛄	一物降一物
合唱团里的哑巴	凑数
何家的姑娘嫁郑家	正合适（郑何氏）
何仙姑要下凡	六神无主
和尚拜堂	全是外行
和尚拜丈人	没有这回事
和尚背枷	知法犯法
和尚出山	走下坡路
和尚打赤脚	两头光
和尚打架扯辫子	没有的事（比喻某件事不可能发生，或对某件事表示否定。）
和尚打架	抓不到辫子
和尚打伞	无法（发）无天
和尚戴礼帽	与众禾同
和尚到了姑子庵	不妙（庙）
和尚的肚腹	没多大油水
和尚的儿子	拣的
和尚的袈裟	东拼西凑；七拼八凑
和尚的木鱼	合不拢嘴；挨敲打的货；不打不响；咧开了嘴
和尚的脑壳	没法（发）（比喻没有办法，无能为力）
和尚的念珠	一连串
和尚的梳子	无用之物
和尚的住处	妙（庙）
和尚分家	多事（寺）
和尚跟着月亮走	借光了
和尚回庙	走老路
和尚结辫子	假的
和尚看花轿	空欢喜
和尚买梳子	无用
和尚没当上，老婆没娶上	两头误
和尚庙对着尼姑庵	没事也得有事
和尚庙里的老鼠	听的经卷多
和尚庙里借梳子	走错了门；找错了门
和尚庙前讲假话	惹是（寺）生非
和尚念经	老一套
和尚敲木鱼	老一套
和尚敲钟	响当当
和尚娶老婆	岂有此理；离经叛道
和尚娶媳妇	今生休想
和尚头上的虱子	明摆着
和尚头上盘辫子	空绕一圈儿（比喻白走一趟）
和尚挖墙洞	妙（庙）透了
和尚下山	出事（寺）了
和尚训道士	管得宽
和尚训道土	管得宽
和尚养儿子	岂有此理
和尚照镜子	无计（髻）可施（梳）
和尚枕着门槛睡	突（秃）出
和尚住岩洞	没事（寺）
和尚坐岩洞	没事（寺）
和孙猴子比翻跟斗	差着十万八千里
河边垂钓	等鱼上钩
河边放崖炮	无地容身；无处藏身
河边开豆腐店	汤里来，水里去
河边里海洗煤砖	闲着无事干
河边上撑篙	一竿子插到底
河边上逮螃蟹	有一个捉一个
河伯娶妻	坑害民女
河里打墙	把鳖的路档了
河里的鹅卵石	光溜溜
河里的木偶	随大流・
河里的泥鳅种，山上的狐猩王	老奸巨滑
河里的沙子	捏不拢；难捏合
河里的水身旁的风	抓不住
河里的鸳鸯	一对儿
河里赶大车	没辙
河里划龙船	同心协力
河里拉屎	只有他（你）自己知道
河里摸鱼	光溜溜的
河里洗铁盒	面面俱到
河马打呵欠	好大的口气
河南到河北	两省
河水不犯井水	互不相干；各不相干
河滩的沙子	有的是；多的是
河滩的石头滚上坡	无奇不有；天下奇闻
河滩里盖房子	靠不住；不可靠
河滩上的沙子	有粗有细
河豚浮在水面上	气鼓气胀；气鼓鼓
河心的船	明摆着
河心搁跳板	两头脱空
河中的礁石	顶风顶浪
核桃里的肉	不敲不出来
核桃皮翻脸	点子不少
核桃树旁种棉花	软硬兼施
荷包里的东西	十拿九稳
荷包里冒烟	妖艳（腰烟）
荷包里装针	锋芒毕露
荷花池里的并蒂莲	不分上下；上下不分
荷花池里养鱼	一举两得
荷花灯里点蜡烛	心里明；肚里亮
荷塘里失火	偶然（藕燃）
荷叶包钉子	个个想出头
荷叶包鳝鱼	溜啦；溜之大吉
荷叶上的露珠	清清白白；滚来滚去
荷叶上的水珠	滚来滚去（比喻容易动摇，没有主见。）；不能久留
荷叶上放秤砣	承受不了
荷叶做雨伞	遮盖不住
黑处作揖	各尽其心；没人领情
黑灯笼里点蜡烛	有火发不出
黑灯瞎火跳舞	暗中作乐
黑地里穿针	难过
黑地里打躬	没人领情；不领情
黑地里张弓	暗藏杀机
黑洞里裹脚	瞎缠
黑狗偷油打白狗	错了；搞错了
黑狗熊耍扁担	胡抡
黑老鸹嫁凤凰	不配；配不上
黑老鸦下了个白鸡蛋	就当自己长得白
黑脸演花旦	变了角色
黑泥鳅钻进金鱼缸	谁跟你比美；光显自己漂亮；献丑
黑漆灯笼	心里亮；肚里明；没用处
黑天摸黄鳝	不知长短；难下手
黑天捉老鼠	找不着窟窿
黑天捉牛	摸不着角
黑天做投机生意	看不见的勾当
黑屋里打算盘	暗算；暗中盘算
黑屋里找东西	没处寻；难寻
黑屋里做活路	瞎干
黑瞎子（狗熊）挨鞭子	耍坏啦
黑瞎子按键盘	乱弹琴
黑瞎子掰苞谷（玉米）	掰一个，丢一个
黑瞎子摆手	不玩了
黑瞎子吃人参	不知贵贱
黑瞎子打花脸	熊样
黑瞎子打立正	一手遮天
黑瞎子打人	架不住那一巴掌
黑瞎子叫门	熊到家了
黑瞎子蒙红头巾	冒充新娘子
黑瞎子扭身	大反扑
黑瞎子捧刺猬	碰到棘手事
黑瞎子披大氅（chang大衣）	不像人样
黑瞎子敲门	熊到家了
黑瞎子上房脊	熊到顶了
黑瞎子耍扁担	老一套
黑瞎子耍门扇	人熊家伙笨
黑瞎子跳井	熊到底了
黑瞎子头上长犄角	还是那个熊样子
黑瞎子照镜子	熊样
黑瞎子装弥勒佛	面善人不善
黑瞎子坐花轿	冒充新娘子
黑瞎子坐月子	吓（下）熊了
黑小烂肚肠	坏透了
黑心的萝卜	坏透了
黑旋风的本名	理亏（李奎）
黑夜里摘黄瓜	不分老嫩
黑夜里追人	无影无踪
黑纸糊灯笼	不明不白
狠心后娘打孩子	暗里下手
恨虱子烧棉袄	得不偿失；不值得
哼哈二将	样子凶
横匾压塌龙王庙	好大的牌子
横打竹竿进宅	不入门
横垄地里撵（nian追赶）瘸子	一步跟不上，步步跟不上；一步赶不上，步步都紧张
横垄台拉石磙	步步有坎；一步一个坎
横着扁担走路	霸道
横着竹竿进门	难转弯；转不过弯来
红白喜事一起办	哭笑不得；悲喜交加
红楼梦里的贾府	大有大的难处
红萝卜菜放辣椒	把你没放在眼里
红萝卜雕花	中看不中吃；好看不好吃
红萝卜雕神像	饮食菩萨
红萝卜掉油篓	又奸（尖）又猾（滑）
红萝卜刻娃娃	红人
红木当柴烧	不识货
红娘挨打	成全好事
红娘牵线	成人之美
红薯干充天麻	冒牌货
红薯窖里打拳	施展不开
红薯落灶	自该煨
红头苍蝇叮烂猪头	臭味相投
红眼老鼠出油缸	吃里爬外
红药水抹疖子	治表不治里
红枣炖红糖	甜上加甜；甜透了
红纸裱灯笼	装面子
洪水淹粮仓	泡汤了
洪水淹了龙王庙	一家人不识一家人
鸿雁传书	空来往
侯门的小姐，王府的少爷	四体不勤，五谷不分
喉咙长刺口生疮	说木出好话来
喉咙卡骨头	吞不下，吐不出
喉咙里安雷管	一谈（弹）就崩
喉咙里长疙瘩	赌（堵）气
喉咙里灌铅	张口结舌
喉咙里塞胡椒	够戗（够受的）
喉咙里伸出手来	真馋；嘴太馋
喉咙里使勺子	淘（掏）气
喉头上长疔疮	痛不可言，
猴吃辣椒	抓耳挠腮
猴戴皮巴掌	毛手毛脚
猴弹棉花狗拉车	乱套了；乱了套
猴儿吃芥末（调味品。味辣）	傻了眼；翻白眼
猴儿戳蜂窝	自讨苦吃
猴儿戴帽子	装人样；衣冠禽兽
猴儿的脸，猫儿的眼	说变就变；转眼就变；变化无常
猴儿拿棒槌	胡抡
猴儿爬石崖	显出你的能耐了
猴儿耍大刀	胡砍
猴屁股扎蒺藜（ji li一年生草本植物。果皮有尖刺）	坐立不安
猴王闹王宫	大打出手
猴于爬梯	一跃而上
猴子掰（bai用手把东西分开或折断）苞米（玉米）	掰一个；丢一个
猴子抱西瓜	顾此失彼
猴子不上树	多打几遍锣
猴子唱大戏	胡闹台
猴子吃大蒜	翻白眼
猴子吃大象	亏他张得开嘴
猴子吃核桃	砸啦
猴子吃麻糖	扒拉不开
猴子吃仙桃	眉飞色舞；好歹不分
猴子穿衣服	冒充善人
猴子戴箍	自上圈套
猴子戴金冠	惹祸大王
猴子戴面具	混充人；人面兽心
猴子戴手套	毛手毛脚
猴子戴眼镜	冒充斯文；假斯文
猴子的屁股	自来红；坐不住
猴子登台	一出没有（指无戏可唱）
猴子给老虎拜年	送货上门
猴子滚绣球	滚的滚，爬的爬；连滚带爬
猴子架辕	不听那一套；不吃这一套
猴子捡姜	吃也不是，丢也不是
猴子看桃园	越看越光
猴子看戏	干瞪眼；傻了眼
猴子扛大梁	受不了
猴子拉车	又蹦又跳；连蹦带跳
猴子拉弓	不是样子
猴子拉犁	顶车
猴子拉稀	坏肚肠
猴子捞月亮	一场空
猴子拿（捉）虱子	瞎抓
猴子爬板凳	各想一头
猴子爬杆狗钻圈，黄鼠狼专钻水道眼	各有各的门道
猴子爬上旗杆顶	高高在上
猴子爬上樱桃树	粗人吃细粮
猴子爬树	乱蹿；拿手好戏
猴子爬皂角树	遇上棘手事
猴子爬竹竿	节节上升；上蹿下跳
猴子捧个烫瓦盆	团团转
猴子骑老虎	下不来
猴子骑马	一跃而上；高高在上
猴子骑绵羊	神气活现；神气十足
猴子骑羊	不成人马
猴子扇扇子	学人样
猴子上凉亭	丑鬼耍风流
猴子上圈套	任人摆布
猴子耍把戏	毛手毛脚；翻来覆去老一套
猴子耍扁担	胡抡
猴子耍耗子	大眼瞪小眼
猴子耍拳	小架式
猴子跳加官（旧时戏曲开场或在演出中，遇显贵到场时，加演的舞蹈节目）	人面善心
猴子捅马蜂窝	倒挨一锥
猴子推磨	玩不转
猴子衔烟斗	混充人；装人样；假装
猴子笑兔子尾巴短	彼此彼此；彼此一样
猴子照镜子	得意忘形；没个人模样；里外不是人
猴子捉跳蚤	自抓挠
猴子着西装	不合身
猴子坐板凳	有板有眼；有板眼
猴子坐到旗杆上	惟我独尊
猴子坐金殿	一个惹祸大王
猴嘴里掏枣，狗嘴里夺食	难办；办不到’
后半夜做美梦	好景不长
后婚娶后婚	床上两条心
后脑壳上的头发	难见面
后脑勺挂镜子	照见别人，照不见自己；照人不照己
后脑勺挂笊篱（dlbo li捞取东西的用具。用金属丝、竹篾或柳条等编成。有长柄）	置之脑后
后脑勺拍巴掌	背后整人
后娘打孩子	暗里使劲；使暗劲；早晚是一顿
后台锣鼓	见不了大场面
候车室里的挂钟	群众观点
囫囵吞石榴	先苦后甜
囫囵吞枣	难消化；不知滋味
囫囵吞芝麻	满肚子点子；一肚子点子
狐狸吵架	一派胡（狐）言
狐狸吃刺猬	下不了口；无从下口；难下口
狐狸出洞	没好事儿
狐狸打马蜂	不懂得死活
狐狸戴草帽	不算人；不是人
狐狸戴礼帽	假正经；人面兽心
狐狸的尾巴	藏不住
狐狸掉进污水池	又臊又臭
狐狸洞里扛扁担	窝里横
狐狸放屁	臊气
狐狸给鸡拜年	不怀好意；阴险歹毒
狐狸给鸡祝寿	不敢受这个礼
狐狸跟猎人走	凶多吉少
狐狸跟着老虎走	狐假虎威
狐狸和狗拜把子（朋友结为异姓兄弟）	狐群狗党
狐狸嫁黄鼠狼	都是骚（臊）货；一对骚（臊）货
狐狸进村	没安好心
狐狸进宅院	来者不善
狐狸精变美女	迷人心窍
狐狸精打呵欠	妖里妖气
狐狸看鸡	越看越稀
狐狸哭兔子	假慈悲；假慈善
狐狸说教	旨在偷机（鸡）
狐狸窝里斗	自相残杀
狐狸想天鹅	不得到口
狐狸找羊交朋友	不存好心；居心不良
狐狸照镜子	怪模怪样；怪样子
狐狸撞猎枪	死到临头
狐狸钻罐子	藏头露尾
狐狸作梦	想着投机（偷鸡）
狐狸做梦	想投机（偷鸡）
胡豆地里出油菜	杂种
胡椒浸在醋里	辛酸得很
胡萝卜疙瘩	上不了席
胡萝卜煮豆腐	红白不分
胡敲梆子乱击磐	欢喜若狂；得意忘形；快活一时算一时
胡琴里藏知了	弦外之音；弦外有音
胡琴上吊铜铃	弦外之音
胡琴与琵琶合奏	谈（弹）到一块去了
胡同里扛竹竿	直来直去；直进直出；难回头；回头难
胡同里演戏	口上热闹
胡子上的饭，牙缝里的肉	不大点
胡子上的饭粒	吃不饱肚子；饱不了人
胡子上挂霜	一吹就了
胡子套索索	谦虚（牵须）
胡子贴膏药	毛病
壶里没水	白捎（烧）了
壶里伸进烧火棍	胡（壶）搅
壶里煮粥	不好搅
湖底的鱼	不好打；打不起来
湖南到湖北	两省
猢狲戴帽子	学做人
猢狲骑山羊	抖威风
猢狲人布袋	进了圈套
猢狲耍把戏	老一套；有啥本事都拿出来
猢狲推泰山	自不量力；不自量
葫芦锯了把儿	没嘴儿
葫芦壳挂在房梁上	上不着天，下不着地
葫芦里看天	不知所以
葫芦里装糯米饭	好进难出
葫芦落塘	摇摇摆摆；吞吞吐吐
葫芦蔓缠上南瓜藤	难解难分
葫芦瓢捞饺子	滴水不漏；点滴不漏
葫芦瓢	里虚
葫芦上架	吊起来了
葫芦藤上结南瓜	不可能的事；无奇不有；天下奇闻
葫芦秧套南瓜秧	拉扯不清；胡搅蛮缠
糊涂虫做媒	坏两头；两头挨骂
糊涂官判案	是非不清
糊涂老板糊涂账	难算；算不清
糊涂老婆	乱当家
糊涂庙里糊涂神	糊涂到一块了
蝴蝶飞进了花园里	难舍难离
蝴蝶落在鲜花上	恋恋不舍
蝴蝶群舞	花花世界
虎口拔牙	胆子不小；好大胆
虎人中堂	家破人亡
虎生猪猡	又笨又恶
虎头蛇尾	有始无终
虎头铡下服刑	一刀两断
虎窝里跑出个羊羔	虎口余生
虎坐莲台	冒充善人
花棒棒打锣	有声有色
花绸上绣牡丹	锦上添花
花绸子盖鸟笼	外面好看里面空
花绸子做尿布	屈才
花旦戴胡子	没有那一套
花岗岩脑袋	顽固不化
花岗岩做招牌	牌子硬
花公鸡的尾巴	翘得高
花公鸡上舞台	光显自己漂亮
花果山的猴子	无法无天
花果山的美猴王	个小本领强
花和尚穿针鼻	大眼瞪小眼
花花枕头装秕糠（bi kang秕子和糠）	外面好看里面空
花架下养鸡鸭	煞风景
花椒木雕孙猴	麻木不仁（人）
花椒树	尽刺儿
花椒煮猪头	肉麻
花轿到了家门口	喜气盈盈
花轿没到就放炮	高兴得太早了
花轿前的乐队	大吹大擂
花篮里装泥鳅	跑的跑，溜的溜
花狸猫卧房顶	活受（兽）
花猫蹲在屋脊上	惟我独尊
花木兰从军	冒名顶替
花盆里栽松树	成不了材
花皮蛇遇见饿蛤蟆	分外眼红
花瓶里栽树	大不了
花铺里的水	滚开
花钱买死马	得不偿失；尽干蠢事
花生地里开花	落地生根
花生壳，大蒜皮	一层管一层
花生壳里的臭虫	冒充好人（仁）
花生米掉锅里	熟人（仁）
花心萝卜充人参	冒牌货
花眼婆婆纫针（ren zhen引线穿过针鼻儿）	对不上眼；不对跟
花眼婆婆绣花	模糊不清；看不清
花园里的牡丹	出类拔萃
花子（乞丐）进庙	穷祷告
花子婆娘翻跟头	穷折腾
花子婆娘画眉毛	穷讲究；究打扮
花子养仙鹤	苦中作乐
花子早起	穷忙
华佗的医术	手到病除
华佗施医术	起死回生
华佗行医	名不虚传
华佗治病	手到病除
滑了牙的螺丝帽	团团转
化了装的演员	油头粉面
化脓的疖子	不攻自破
画笔敲鼓	有声有色
画饼充饥	白欢喜；自欺欺人；自己哄自己
画虎不成反类犬	弄巧成拙
画里的大饼	不能充饥
画上的春牛	中看不中用
画上的大虾	看着眼馋，到不了嘴里
画上的马	不奇（骑）
画上的美人儿	爱不得
画上的鸟	有翅难飞
画上的仙桃	好看不好吃；中看不中吃
画上的元宝	不值钱的货
画蛇添足	多此一举
话里揉进胡椒面	辣得很
桦木拐杖	宁折不弯
怀揣苞米（玉米）	不肯（啃）
怀揣刺猬	抱着嫌扎手，丢又舍不得
怀揣火炉	热心肠
怀揣金子	心里沉重
怀揣兔子	忐忑（tan te）不安；不安
怀揣小拢子（梳子）	舒（梳）心
怀里揣刀子	不存好心；居心不良
怀里揣镜子	心里明
怀里揣马勺	诚（盛）心
怀里揣琵琶	往心里谈（弹）
怀里揣笊篱（zhao li捞取东西的用具。用金属丝、竹篾或柳条等编成。有长柄）	劳（捞）心了；心眼多
怀里揣着十五只兔子	七上八下
槐树上要枣吃	强人所难
坏笤帚对烂畚箕（ben ji簸箕。用竹、木、铁片等做的撮土器具）	差对差；差配差
欢心歌儿唱不完	其乐无穷
獾狼下个小耗子	一辈不如一辈；一代不如一代
还清了房钱	且住
宦官不叫宦官	太贱（监）
换汤不换药	老一套
患的软骨症	没点刚劲
荒山上长高粱	野种
皇帝不称皇帝	孤家寡人
皇帝出宫	前呼后拥
皇帝打架	争天下
皇帝的后代	龙子龙孙
皇帝的交椅	至高无上
皇帝的女儿	不愁嫁
皇帝的女儿招驸马	专拣好的挑
皇帝的圣旨将军的令	变不了；没法变；一口说了算
皇帝剃光头	不要王法（发）
皇帝下圣旨	照办
皇帝做馒头	御驾亲征（蒸）
皇甫讷扮伍子胥	蒙混过关
皇粮国税	免不得
皇上的旨，将军的令	一口说了算
皇上家的祠堂	太妙（庙）
黄柏木下玩瑶琴	苦中作乐
黄柏木做磬槌子	外头体面里头苦
黄表纸包饺子	露馅
黄豆地里带芝麻	点子多
黄豆地里的西瓜	数它大
黄豆碰上热锅	欢蹦乱跳
黄豆切细丝	功夫到家了
黄豆芽炒莲藕	尽钻空子
黄豆芽上天	带尾巴的能豆子
黄豆煮豆腐	父子相会
黄蜂的尾巴	毒极了；最毒
黄蜂叮屁股	有痛讲不出口
黄蜂找窝	乱哄哄
黄蜂锥裤裆	干吃哑巴亏；难出口；苦衷难诉
黄盖挨板子	自讨的；自觉自愿
黄狗当马骑	乱来
黄狗偷食打黑狗	冤枉
黄狗头上出角	尽出洋（羊）相
黄瓜拌辣椒	各有所好；各人所好
黄瓜菜	凉啦
黄瓜当棒槌	越打越短
黄瓜拉秧	塌了架
黄瓜敲锣	去一半；一锤子买卖
黄河的水，长江的浪	源远流长
黄河决了口	滔滔不绝；一泻千里
黄河里的水	难请（清）
黄鹤楼上看翻船	幸灾乐祸
黄鹤楼上看行人	把人看矮了
黄花女作媒	自身难保
黄花鱼下挂面	不用言（盐）
黄昏的燕子	不想高飞
黄昏时的燕子	不想高飞
黄酱掉在裤兜里	不是死（屎），也是死（屎）
黄金能卖高价钱	物以稀为贵
黄连拌苦胆	苦到家了；苦作一堆
黄连拌苦瓜	苦上加苦
黄连拌生姜	辛苦了
黄连打官司	诉苦
黄连雕寿星	苦老头
黄连豆用嘴咬	自找苦吃
黄连炖猪苦胆	苦不堪言
黄连炖猪头	苦了大嘴的
黄连甘蔗挑一担	一头苦来一头甜
黄连锅里煮人参	从苦水中熬过来的
黄连木雕娃娃	苦孩子
黄连木头打娃子	痛苦
黄连木做笛子	苦中作乐
黄连木做图章	刻苦
黄连酿酒	苦打成招（糟）
黄连泡瓜子	苦人（仁）儿
黄连树上挂苦胆	苦相连；一个更比一个苦；苦上加苦
黄连树上结糖梨	甜果都从苦根来
黄连树下吃桂圆	苦中有甜
黄连树下弹琵琶	苦中作乐；苦中取乐
黄连树下喊上帝	叫苦连天
黄连树下一棵草	苦苗苗
黄连树下种苦瓜	苦生苦长
黄连水里泡竹笋	苦透了
黄连水洗脑壳	苦到头了
黄连水洗头	苦恼（脑）
黄连汤淘饭	口口苦
黄毛娃娃坐上席	人小辈大
黄毛鸭子下水	不知深浅
黄泥巴打黑灶	好心不得好报
黄泥巴掉进裤裆里	不是事（屎）也是事（屎）
黄泥巴脚杆子	老实巴脚
黄泥巴做馍馍	土包子
黄泥塘洗单子	拖泥带水
黄牛背上的跳蚤	自高自大
黄牛吃草	吞吞吐吐
黄牛打架	死顶
黄牛脚印水牛踩	一个更比一个歪
黄牛落泥塘	越陷越深
黄牛拴鼻绳	跑不了
黄牛咬黄连	吃苦耐劳
黄貔子（huang pi zi黄鼠狼）唱山歌	没安好心
黄貔子吃鸡毛	填不饱肚子
黄沙搀水泥	合在一起干
黄鳝爆（猛火炒）泥鳅	勾勾搭搭
黄鳝过河滩	不死也要落一身残
黄鳝爬犁头	狡猾（绞铧）
黄鳝遇见泥鳅	滑头对滑头
黄鳝钻洞	顾头不顾腚（出叩臀部）
黄鼠狼拜孤狸	一个更比一个坏
黄鼠狼拜狐狸	一个更比一个坏
黄鼠狼吃鸡毛	填不饱肚子
黄鼠狼抽了筋	浑身哆嗦；直哆嗦
黄鼠狼串门子	到处放臭屁
黄鼠狼戴草帽	充人样；冒充善人
黄鼠狼戴花	臭美
黄鼠狼戴尿罐	晕头转向
黄鼠狼单咬病鸭子	倒霉越加倒霉
黄鼠狼挡汽车	自不量力；不自量
黄鼠狼的腚	放不出什么好屁来
黄鼠狼的脊梁	软骨头
黄鼠狼的脾气	偷鸡摸蛋
黄鼠狼等食	见机（鸡）行事
黄鼠狼吊孝	装蒜
黄鼠狼顶草帽	装文明人
黄鼠狼蹲在鸡窝里	投机（偷鸡）
黄鼠狼躲鸡棚	不是偷也是偷
黄鼠狼给鸡拜年	没安好心；来者不善
黄鼠狼给鸡送礼	不怀好意
黄鼠狼给鸡做笑脸	没安好心
黄鼠狼过闹市	人人喊打
黄鼠狼过泥塘	小手小脚
黄鼠狼过水田	拖泥带水
黄鼠狼和狐狸结亲	臭味相投
黄鼠狼间难卦	凶多吉（鸡）少
黄鼠狼见了鸡	眼馋
黄鼠狼借鸡	有借无还
黄鼠狼进鸡窝	灾难临头；没安好心；无孔不入；有空就钻
黄鼠狼进宅	来者不善
黄鼠狼看鸡	越看越稀
黄鼠狼烤火	爪干毛净
黄鼠狼啃乌龟	找不到头；无从下口
黄鼠狼拉骆驼	不识大体
黄鼠狼拉小鸡	有去无回
黄鼠狼立在鸡棚上	不是你也是你
黄鼠狼骂狐狸	对坏；都是骚（臊）货
黄鼠狼觅食	见机（鸡）行事
黄鼠狼泥墙	小手小脚
黄鼠狼排队	一路骚（臊）货
黄鼠狼偷鸡	专干这行的
黄鼠狼吞鸡毛	填饱肚子就行
黄鼠狼拖牛	自不量力；大干一场
黄鼠狼拖着鸡毛掸	白欢喜；空喜一场
黄鼠狼戏水牛	大的没有小的能
黄鼠狼下刺猬	一窝不如一窝
黄鼠狼咬病鸭子	浑身打哆嗦
黄鼠狼咬刺猥	无从下口；难下口
黄鼠狼专咬病鸭子	倒霉透了；真倒霉
黄鼠狼钻鸡笼	想投机（偷鸡）
黄鼠狼钻磨坊	充大耳朵驴
黄鼠狼钻水沟	各走各的路
黄鼠狼钻烟囱	越钻越黑
黄鼠狼钻阴沟	各走各的路；各行各的道
黄鼠狼钻灶	毛干爪净；火烧火燎
黄鼠狼嘴下溜出的鸡	死里逃生
黄鼠狼嘴下逃出的鸡	好运气
黄头鸟（金丝鸟）搭窝	得过且过
黄土捏泥人	你中有我，我中有你
黄杏熬北瓜（南瓜）	一色货
黄羊的尾巴	长不了
黄羊跑到虎穴里	凶多吉少
黄忠出阵	不服老
黄忠交朋友	人老心不老
黄忠叫阵	不服老；不甘示弱；老当益壮
黄忠抡大锤	老当益壮；不服老
黄忠射箭	百发百中
会计戴眼镜	精打细算
会计上门	找你算帐
豁牙子拜师傅	无耻（齿）之徒
豁牙子啃西瓜	道道多
豁牙子啃猪蹄	横扯筋
豁子吵嘴	谁也别说谁
豁子喝米汤	无耻（齿）下流
豁子嘴照镜子	当面出丑
豁嘴吹灯	白费劲
豁嘴罐子打水	放任自流
饥饿送口粮	帮了大忙
